序号,题目,难度,分数,题型,选项(A),选项(B),选项(C),选项(D),选项(E),答案,
223,工程直签业务的模式包括哪些具体业务细化分支,,,多选题,暖通工程直签业务,美通能源管理业务,美控智能化弱电业务,电梯销售安装业务,,ABC,
224,总部对于分部主导的，由重点客户配合的暖通直签业务的自有设备占比要求最低是20%,,,是非题,正确,错误,,,,正确,
225,对于工程直签业务外采招标的规定中关于跟标的表述正确的是,,,多选题,项目所跟标的合同签订必须产生于6个月内,项目跟标的规模不能大于被跟标项目的两倍,跟标的市场行情没有发生大的变动,有集团集采的框架合同，跟标的时间可以根据框架协议有效期调整,,ABCD,
226,暖通直签业务，有经销商参与的，项目评审表中应该单独体现其利润及费用明细,,,是非题,正确,错误,,,,正确,
227,暖通工程直签业务中，外采询价比价的最少供应商要求是几家,,,单选题,2家,3家,4家,5家,,B,
228,集团招标管理办法规定的技术分、价格分综合得分评标办法中技术分占比最高可达（非设计方案类）,,,单选题,20%,30%,40%,0.5,,D,
229,集团招标管理办法规定的可以指定采购的情形包括,,,多选题,美的集团内部单位参与的项目,供应商拥有特定的技术、专利的项目,由原设备/基建/IT供应商对项目实施的改造、升级项目,部分稀有物资，供应资源达不到招标条件的项目,标的额低于50万的项目,ABCD,
230,工程直签业务中一般涉及保函开具，包含具体包括哪几类,,,多选题,预付款保函,履约保函,质保保函,担保保函,投标保函,ABCE,
231,集团招标管理办法中约定的投标担保的形式有,,,多选题,公对公转账,机打支票,未付合同款项担保,投标保函,,ABC,
232,集团招标管理办法中约定的投标担保标准最高不得超过标的额的,,,单选题,1%,0.02,3%,5%,,B,
233,暖通工程直签业务接单规则中要求项目总体最低利润不得低于,,,单选题,3%,0.05,7%,8%,,B,
234,暖通工程直签业务评审表中的项目总体利润应该是含税计算的,,,是非题,正确,错误,,,,错误,
235,在承接跨地域的直签项目时应考虑项目过程预缴附加税成本,,,是非题,正确,错误,,,,正确,
236,暖通直签工程业务对甲合同中约定税率全部为9%是有税务风险的,,,是非题,正确,错误,,,,正确,
237,对于外采设备的质保要求一般为,,,单选题,与甲方对我方要求一致,年限越长越好,费用越低越好,高于甲方对我方要求为好,,A,
238,以下哪个是廉正办公室的举报及咨询邮箱？,,,多选题,compliance@midea.com,tousu@midea.com,mdvtousu@midea.com,lianzheng@midea.com,,AB,
239,已维护中标项目签约金额有调整，在原登录上手工调整各产品线签约金额,,,是非题,正确,错误,,,,正确,
240,合同金额超过多少需要招标？,,,单选题,5万,10万,1万,3万,,A,
241,电梯暂停出梯鉴定为不良库存的起算天数正确的是？,,,单选题,30天,90天,180天,365天,,B,
242,关于项目制管理正确的是（）,,,多选题,总部、销司直签的甲方业务，通过商机号作为项目号，串联整个业务全链路数据,涉及应收、价差等核算,项目制管理一定要做商机分配，并选择项目制,项目制管理与非项目制管理确认收入规则不一致,,ABCD,
243,关于外经证的办理及核销，以下说法正确的是,,,多选题,外经证在核销前需按月预缴个税,外经证预缴税款后可直接核销,外经证预缴税款后才能开具安装发票,若项目提前完工，可在完工后即时办理核销,,ABD,
244,甲方版本保函模板不需要通过银行法审,,,是非题,正确,错误,,,,错误,
245,合同发票已全额开具，当合同金额发生调减时，已开具的发票处理方式不正确的是,,,多选题,与客户沟通不处理，在代理商配合费扣减,在合作的其他合同里少开,沟通IT在系统调减已开发票数据,核对合同调减金额，沟通财务核对已开票数据，进行发票红冲处理,,ABC,
246,以下合同税率正确的是,,,单选题,设备销售：9%,工程安装：6%,设备保养：9%,设备维修：13%,,D,
247,对于搭车提货，以下说法错误的是,,,单选题,视情节扣回经销商不当得利（20000元-提货规模的10%-50%）,扣回中心提货规模10%-50%，结合搭车比例扣减政策资源,处罚责任业务5000元/单,处罚中心经理10000元/单,,C,
248,应收鉴定为逾期的起算天数正确的是：,,,单选题,365天,180天,90天,30天,,C,
249,甲方项目挂靠费为项目金额的（),,,单选题,1%,0.02,3%,4%,,B,
250,专项费用与五项费用的预算不允许互相调剂。同部门的业务招待费，可与其他项目预算相互调剂。,,,是非题,正确,错误,,,,对,
251,美的现销小多联产品中，主推的单风轮室外机是以下哪个系列？,,,单选题,TR+V Pro系列,TR+mini Pro系列,TR+F Pro系列,TR+S Pro系列,,A,
252,美的现销小多联室外机容量范围描述错误的是？,,,单选题,单相电室外机为8~20kW,单风轮室外机为8~18kW,单风轮室外机为8~22.4kW,双风轮室外机为12~33.5kW,,C,
253,哪个不是轻商15/20匹商用柜机产品的特点？,,,单选题,采用直流电机,蒸发器与电控分离，易清洗,机身标配线控器KJR-86S/BK,标配6米扬程排水泵,,D,
254,以下对小多联厨房空调内机的描述错误的是？,,,单选题,包含25、28、32、36四种容量,静压最大30Pa,标配初效滤网和耐油污滤网,采用金属风轮,,B,
255,美的小多联可采用的控制方式不包含哪个？,,,单选题,线控器控制,集控屏控制,美的美居APP控制,智能音箱语音控制,,D,
256,关于美的现销天氟地水产品，说法不正确的是？,,,单选题,室外机容量范围为8~33.5kW,外机与水力模块为分体式,外机与水力模块为整体式,用户可在25～55℃范围内设定供水温度,,C,
257,关于小多联TR+V Pro风管式室内机说法错误的是？,,,单选题,可以下回风，也可以后回风,一机兼容左右接管,无检修口，下回风口即检修口,易清洁&易拆装,,A,
258,关于行业内小多联风管式室内机蒸发器类型错误的是？,,,单选题,美的 C型蒸发器,格力 一字型蒸发器,海尔 V型蒸发器,日立 V型蒸发器,,B,
259,轻商MDV Power系列不包含以下哪款室内机？,,,单选题,7.5kW嵌入式内机,15kW嵌入式内机,12.5kW风管式内机,7.5kW风管式内机,,D,
260,关于美的小多联风管式室内机的描述不正确的是？,,,单选题,采用直流冷凝水泵,产品高度统一为199mm,C型金色换热器,无恒风量技术,,D,
261,美的房产配套小多联现销型谱室内机类型包含哪些？,,,多选题,风管式室内机,壁挂式室内机,厨房空调室内机,环形出风嵌入式室内机,,ABC,
262,美的双向流除霾新风机(小箱体)包含哪些风量机型？,,,多选题,150,250,350,500,,ABCD,
263,轻商MDV Power系列可选的固定内外机搭配有哪些？,,,多选题,六匹一拖二,十匹一拖二,十五匹一拖三,二十匹一拖四,,ABCD,
264,美的现销小多联产品可定制的功能包含哪些？,,,多选题,净离子杀菌,精准除湿,电量划分功能,精准加湿,,ABC,
265,关于美的轻商变频十匹、二十匹大风管机的说法正确的是？,,,多选题,一套二十匹大风管系统包含两台室外机+一台室内机,室外机均采用直流变频压缩机,十匹风管机为二级能效产品，无节能认证,二十匹T1机型为一级能效产品，高效节能,,ABD,
266,轻商MDV Power系列的内、外机可以与其它系列产品机型匹配。,,,是非题,正确,错误,,,,错误,
267,轻商20匹商用柜机，最远可45米远距离、90°大角度送风。,,,是非题,正确,错误,,,,正确,
268,小多联现有风管式室内机出厂不标配显示盒，可用单向红外通讯的线控器控制。,,,是非题,正确,错误,,,,错误,
269,现销天氟地水产品中的120、180、285规格的水力模块，均标配了线控器。,,,是非题,正确,错误,,,,正确,
270,美的小多联同一套冷媒系统中，不可混搭C型蒸发器的风管内机和V型蒸发器的风管内机。,,,是非题,正确,错误,,,,正确,
271,关于磁悬浮离心机整机5年质保，错误的是？,,,单选题,自2024年9月28日开始。,仅适用于销售到中国大陆及港澳台地区。,适用于所有工况的机组。,5年质保是以出厂日期开始计算的。,,C,
272,大水机产品，可支持购买延保最长至几年？,,,单选题,3年,4年,5年,6年,,D,
273,对于尚在质保期内的项目，要购买延保的时间要求是？,,,单选题,交付后3个月内,交付后1个月内,常规质保期≥120天,常规质保期≥30天,,C,
274,对于大水机产品质保期，以下描述错误的是？,,,单选题,质保期内的免费维修范围，是包含人工和材料费的。,质保范围不包含润滑油、过滤器等耗材和易损件。,现在下单采购的大水机产品，标准质保期是出厂24个月或调试后18个月，先到为准。,大水机标准质保期调整是针对从2025年1月1日开始下单销售至中国大陆地区的机组。,,C,
275,关于磁悬浮离心机10年保修，错误的是？,,,单选题,自2022年10月1日起下单销售至中国大陆地区的机组。,十年免费保修服务的起始日期为产品出厂日期。,用于单工况冷水机组（不含蓄冰、热泵、热回收等差异化工况机组）。,磁悬浮离心压缩机部件保修范围为压缩机本体及本体附属关键部件。,10年质保是没有条件的。,E,
276,关于常规末端自控系统的价格与服务内容，以下哪个描述是正确的？,,,单选题,A. A≤500平方米的项目价格为23000元,B. 500<A≤1000平方米的项目服务包含现场培训指导,2000<A≤3000平方米的项目服务内容为"保密",所有项目都包含质保期（一年）内的系统维护,,A,
277,关于高效机房群控系统和其他自控系统的服务内容，以下哪个描述是正确的？,,,单选题,A. 高效机房群控系统包含自控系统的图纸深化和安装技术交底,B. 其他自控系统包含现场网络及配电测试和单点调试,C. 高效机房群控系统不包含客户系统操作培训,D. 其他自控系统不提供质保期内的系统维护,,A,
278,延保服务销售业绩的计入依据是什么？,,,单选题,A. 合同签订对象,B. 合同金额,C. 延保周期标准,D. 产品维修记录,,B,
279,美的原厂分歧管包含以下哪些系列？,,,单选题,A. F系列室内分歧管,B. C系列室内分歧管,C. 外机并联分歧管,D. 以上都是,,D,
280,关于其他自控系统的服务内容，以下哪个描述是正确的？,,,单选题,A. 单台直膨机控制柜（美控）不包含现场勘查和安装技术交底,B. 单台末端组空控制柜（美控）的服务包含触摸屏组态编制,C. 其他自控系统不提供质保期内的系统维护,D. 偏远区域的调试费用标准不上浮,,B,
281,烈焰1600机组最低运行环温是？,,,单选题,-26℃,-30℃,-35℃,-36℃,,C,
282,商用热水产品最大可以几台组合，最大单机热量（A20W55）为多大？,,,单选题,"4,93","6,193",16193,"16,197",,C,
283,7英寸彩屏集控器MDV8-TC3-7可连接（ ）台内机，（ ）个冷媒系统。,,,单选题,"64,8","128,6","64,1","64,4",,A,
284,V8系统在Changeover模式（切换模式）下时，若VIP室内机处于待机状态时，针对哪一项是正确的？,,,单选题,系统将始终运行在供暖模式下。,若制冷与供暖请求数量相同，则系统运行制冷模式。,系统将停止运行，直到 VIP 室内机被唤醒。,在切换模式下，VIP室内机无法选择自动模式。,,B,
285,在制冷模式下，空调系统自动执行回油控制（自动操作）的触发条件是？,,,单选题,当压缩机初始运行累计2小时，或排油量达规定水平，或累计运行4小时时。,当压缩机初始运行累计2小时，且排油量达规定水平，且累计运行4小时时。,当压缩机累计运行时间达到4小时，或排油量计算值超过预设标准时。,当压缩机初次运行满2小时后，系统将定期每4小时执行一次回油操作。,,A,
286,多联机集控网关IMMProII-M0需要计费功能的，要单独采购（）。,,,多选题,计费许可,电表,IMMPRO软件,CCM18(Modbus-M),,AB,
287,大多联AIRC+II室内机可搭配的室外机包含（）。,,,多选题,MDV-FIT全系列,标准系列,V8Pro系列,Free系列,,BCD,
288,到26年5月，大水机自主调试范围覆盖的产品系列有哪些？,,,多选题,1300RT及以下的离心机,1300RT以上的离心机,风冷和水冷螺杆机,风冷和水冷涡旋机,空压机及鼓风机,ABCDE,
289,虚拟服务公司试点中心是哪几个？,,,多选题,佛山,福建,重庆,湖北,河南,ACD,
290,关于分歧管销量统计要求，以下哪些说法是正确的？,,,多选题,采购总量包含F系列、C系列室内分歧管及外机并联组件,应采购量按大多联和小多联室内机数量的80%计算,F系列采购数据来源于CSS系统,C系列采购数据来源于SaleSmart系统,,ABCD,
291,关于分歧管考核的相关规定，以下哪些说法正确？,,,多选题,考核时间为2025年11月1日-2026年12月31日,年度分歧管采购比例总任务达成可退还此前负激励,激励金额兑现由用户服务及后市场部按季度执行,分歧管采购考核数据由财务管理部统计,,AB,
292,延保服务包含产品保养及易损件更换。,,,是非题,正确,错误,,,,错误,
293, 常规末端自控系统中，2000<A≤3000平方米的项目服务内容为"保密",,,是非题,正确,错误,,,,正确,
294,高效机房群控系统的服务内容不包含客户系统操作培训,,,是非题,正确,错误,,,,错误,
295,根据分歧管销售考核通知，F系列室内分歧管适用于制冷量180kW及以上的多联机室内机,,,是非题,正确,错误,,,,错误,
296,离心机组（含磁悬浮）无论是否配置热气旁通，能调范围都是10%-100%之间。,,,是非题,正确,错误,,,,错误,
297,各中心服务商可自由的在各大网商平台开网店销售我司配件。,,,是非题,正确,错误,,,,错误,
298,大水机i管家目前不支持远程开关机及参数设置。,,,是非题,正确,错误,,,,正确,
299,大水机调试服务是免费的。,,,是非题,正确,错误,,,,错误,
300,烈焰大温差功能是指全程可以保持设定的温差运行,,,是非,正确,错误,,,,错误,
301,V8pro系列产品容量8～36HP，全系列可自由组合,,,是非,正确,错误,,,,正确,
302,双热源室内机的出风口尺寸与热水盘管的进风口尺寸不同，二者连接需工程上自行采购柔性软管现场连接。,,,是非,正确,错误,,,,正确,
303,轻商一级能效小风管机TR+P系列，如需接入第三方集控系统，可通过内机接新款网络模块（MD-NIM03）的方式，不需要加Modbus网关。,,,是非,正确,错误,,,,正确,
304,G系列吊顶空调箱常规内外板板材厚度是多少？,,,单选题,0.35mm,0.5mm,0.7mm,1.0mm,,A,
305,新软件平台的安装注册及日常打开软件，务必以：,,,单选题,直接单击打开,直接双击打开,右键，“以管理员身份运行”打开,右键，打开,,C,
306,末端使用的过滤器，两级过滤器最优等级差是多少？,,,单选题,4~8级,2~4级,1~3级,5~9级,,B,
307,末端过滤器和电加热功能段相邻时，中间最少需要留多少空间合适,,,单选题,不需要留空间,500mm,300mm,800mm,,C,
308,舒适性场合，如客户没有要求，全静压一般多大开始会选后倾风机？,,,单选题,全静压〉800Pa,全静压〉1800Pa,全静压〉1400Pa,全静压〉1200Pa,,D,
309,我司生产的表冷器，12.7管径标配的铜管壁厚是多少？,,,单选题,0.24,0.3,0.33,0.5,,C,
310,MKS15WSY/D这个机型的表冷器排数是多少,,,单选题,2排,3排,4排,6排,,B,
311,我司自制的立式标准空调箱，目前能做到的最大风量是多少？,,,单选题,15000m3/h,25000m3/h,40000m3/h,50000m3/h,,B,
312,在常见的空气热湿处理过程中，干盘管属于哪个处理过程,,,单选题,等湿冷却,减湿冷却,等焓加湿,等焓减湿,,A,
313,目前组空常规电机的防护等级是,,,单选题,IP54,CE,IP55,IP65,,C,
314,G系列吊顶空调箱和D系列对比，主要的差异点正确的说法是：,,,多选题,发泡板为无型材结构，内外双层钣金一体式发泡。,板厚25mm,进风法兰为镀锌板+喷涂,水盘+底面板一体发泡成型,,ACD,
315,F系列空调箱说法正确的是,,,多选题,单壁结构,MKZ02~06风电机直连传动,MKS08~15风电机皮带传动,双壁结构,,ABC,
316,关于风机选型，下边说法正确的是,,,多选题,吊顶机组风机直接出风时，建议风机出风方向选FB,风机转速一般不能超过3500rpm,风机出口风速一般按小于16m/s选型,无蜗壳风机使用的电机工作频率选择在40~70HZ 之间,,ABD,
317,末端使用的等温加湿器有哪些？,,,多选题,电级加湿器,湿膜加湿器,电热加湿器,干蒸汽加湿器,高压微雾加湿器,ACD,
318,对于转轮热回收的描述，下边正确的有哪些？,,,多选题,转轮迎面风速一般3~5m/s，风速越高，转轮尺寸越小，价格越低,针对北方地区冬季新风温度低易冻结，新风温度低于-5℃时，建议增加预热处理,转轮入口处设过滤器，尤其新风侧,选用显热回收转轮时需要考虑冷凝水的排放，需选接水盘,转轮新排风量差额一般不大于10%，当新风量大于排风量较多的时候，设新风旁通,ABCDE,
319,四代组空判别组左右的方式为：面对气流方向，进出水管在左侧为左机，反之为右机,,,是非题,正确,错误,,,,正确,
320,医院等对噪音要求较高的场合，建议全静压≤1300pa，选前倾风机；考虑到噪音要求有限选择低转速，风机最大转速不超过2500r/min,,,是非题,正确,错误,,,,正确,
321,热管热回收为全热热回收，能回收显示和潜热。,,,是非题,正确,错误,,,,错误,
322,亿利达风机框架价格，L<R<K<Z,,,是非题,正确,错误,,,,正确,
323,恒温恒湿的工艺性组空可以选用湿膜加湿器,,,是非题,正确,错误,,,,错误,
324,工业高温热泵主要应用温度范围是多少？,,,单选题,45℃以下,60℃以下,200℃以下,200℃以上,,C,
325,美的高温热泵核心优势是什么？,,,单选题,品类齐全,市占率高,价格便宜,应用案例多,,D,
326,美的离心高温热泵目前可接单出水温度最高到多少度？,,,单选题,150℃,130℃,100℃,80℃,,B,
327,美的螺杆高温热泵目前可接单出水温度最高到多少度？,,,单选题,95℃,90℃,85℃,80℃,,A,
328,美的离心高温热泵单压缩机温升能力能做到多少K？,,,单选题,30,40,50,60,,C,
329,美的螺杆高温热泵单压缩机温升能力能做到多少K？,,,单选题,40,50,60,70,,D,
330,美的高温热泵主要采用的制冷剂是？,,,单选题,R134A,R515B,R245fa,R1234Ze,,B,
331,目前在售130℃出水高温热泵采用的压缩机是？,,,单选题,齿轮增速压缩机,磁悬浮压缩机,变频直驱压缩机,螺杆压缩机,,C,
332,高温离心热泵负荷调节范围一般在多少？,,,单选题,10%-100%,40%-100%,60%-100%,80%-100%,,C,
333,单台热泵机组容器单侧温差一般控制在多少以内？,,,单选题,20℃,15℃,10℃,5℃,,A,
334,工业高温热泵主要应用领域有哪些？,,,多选题,化工,食品加工,纺织印染,医药制造,汽车制造,ABCDE,
335,高温热泵传统空调品牌有哪些？,,,多选题,约克,格力,荏原,冰山,冰轮,ABCDE,
336,高温热泵系统中有哪些设备构成？,,,多选题,热泵机组,闪蒸罐,气液分离器,水蒸汽压缩机,换热器及水泵,ABCDE,
337,主要影响热泵的效率因素有哪些？,,,多选题,温差,压缩机形式,冷媒,电压,,ABC,
338,美的100℃以上高温热泵案例有哪些？,,,多选题,长鑫存储高温热泵项目,紫金矿业新疆基地项目,厦门双桥食品厂项目,浙江芳馨医药项目,,CD,
339,美的高温热泵尾椎代号-HP，一般指＞60℃热水时。,,,是非题,正确,错误,,,,A,
340,高温热泵热源侧进水温度越高越好。,,,是非题,正确,错误,,,,B,
341,美的磁悬浮热泵可以做到80℃出水。,,,是非题,正确,错误,,,,B,
342,美的水蒸气压缩机可以提供200℃以内的饱和蒸汽。,,,是非题,正确,错误,,,,A,
343,制热量只与总的流量和总的温差有关，与系统机组串联并联无关。,,,是非题,正确,错误,,,,A,
344,体现磁悬浮空压机能效的比功率通常指的什么？,,,单选题,"输入功率/容积流量（按20℃环温,1atm，60%湿度折算）","容积流量（按20℃环温,1atm，60%湿度折算）/输入功率","输出功率/质量流量（按0℃环温,1atm，0%湿度折算）","质量流量（按0℃环温,1atm，0%湿度折算）/输出功率",输出功率/输入功率,A,
345,磁悬浮空压机：容积流:43m3/min，压力3公斤，输入功率156KW，该空压机气电比(单耗)约等于多少kWh/m3？,,,单选题,3.628,3.721,0.061,0.071,0.081,C,
346,磁悬浮空压机/螺杆空压机：m3/min默认的进气工况是什么？,,,单选题,"20℃环温,1atm，60%湿度","20℃环温,1atm，80%湿度","0℃环温,1atm，0%湿度","35℃环温,1atm，0%湿度","35℃环温,1atm，80%湿度",A,
347,以下设备不属于空压机系统中的干燥机的是？,,,单选题,冷干机,无/微热吸附式干燥机,微/零气耗鼓风热再生干燥机,微/零气耗压缩热再生干燥机,喷雾干燥机,E,
348,以下哪些功能不属于空压机系统中储气罐的功能？,,,单选题,储存空气,缓冲作用,初步降温/冷凝,平衡系统压力,粉尘沉淀过滤,E,
349,磁悬浮空压机压缩机的冷却形式？,,,单选题,液冷,风冷,气液耦合,冷媒冷却,蒸发冷却,C,
350,关于齿传空压机描述错误的是？,,,单选题,只能定频运行,机组标配钣金外壳撬装,流量范围通常为70%-100%,热回收利用价值高,生产无油成品气,B,
351,空压机的选型，初步需要收集的关键信息不包含？,,,单选题,流量/压力/环温/海拔,有油/无油,风冷/水冷,定频/变频,吸排气接管方向,E,
352,以下产品不属于无油（气体压缩-排气）类型空压机的是？,,,单选题,ACWD132-8-VA-PF,水润滑螺杆机,ACMD200-5D,ACHE1200-8,ACLD90-8-VA-DS,E,
353,磁悬浮空压机对比无油干式螺杆空压机，通常宣称能效能提升多少以上？,,,单选题,5%,8%,20%,40%,50%,C,
354,以下零部件属于磁悬浮空压机标配的有哪些？,,,多选题,内循环冷却水泵,开式叶轮,中冷器,磁轴承控制板,IGV进气导叶,ABCD,
355,磁悬浮空压机常见需求场景有哪些？,,,多选题,无油成品气,宽域调节（30%-100%）,低维保费用,低频维保周期,高能效/低噪,ACDE,
356,齿传空压机常见需求场景有哪些？,,,多选题,大流量应用,无油成品气,380V电制,10KV电制,定频/变频运行,ABCD,
357,磁悬浮空压机系统中一般包含哪些设备？,,,多选题,自洁过滤器,储气罐,"C,T,A级过滤器",冷干机/吸干机,冷却塔+水泵,BCDE,
358,磁悬浮空压机主要的竞品品牌有哪些？,,,多选题,亿昇,磁谷,鑫磊,英格索兰,阿特拉斯,ABC,
359,我司所有变频螺杆空压机均为永磁同步电机。,,,是非题,正确,错误,,,,正确,
360,磁悬浮空压在额定工况下流量调节范围为40-100%。,,,是非题,正确,错误,,,,错误,
361,空压机行业常用的压力单位：1Mpa=10bar=10公斤=1000Kpa。,,,是非题,正确,错误,,,,正确,
362,8bar齿传空压机通常为3级压缩，压缩级间空气采用风冷或水冷冷却。,,,是非题,正确,错误,,,,错误,
363,比功率和气电比的值越低，机组越节能。,,,是非题,正确,错误,,,,正确,
364,以下那个部件是美的标准齿轮离心机组额外定制的？,,,单选题,蒸发器水流开关,冷凝器水流开关,蒸发器安全阀,冷凝器安全阀,,B,
365,对美的变频直驱机组以下说法正确的是,,,单选题,满液式蒸发器,永磁电机,具备高位油箱,油箱外置式,,D,
366,以下那个是离心最新的标准机组型号,,,单选题,CCWE-HV,CCWF-H10,CCWE-HS10,CCWE-E10,,D,
367,以下那个不是高压直驱机组需要额外定制的,,,单选题,5%谐波,全年制冷零温差启动,快速启动,热气旁通,,A,
368,以下那个是齿轮离心机组无需定制的？,,,单选题,弹簧减震,热气旁通,二级可调节流,高位油箱,,D,
369,按国标工况以下说法正确的是？,,,单选题,定频齿轮机组定制IPLV7.0,可定制2500RT高压直驱,小冷量600RT高压机组可定制,1600R可定制低压机组,,C,
370,直驱和齿轮机组差异说法错误的是？,,,单选题,都有油加热器,都有可调导叶,电机转速都可以达到10000转/分以上,都是双级节流,,C,
371,直驱离心机组最核心的特点是,,,单选题,高强度增速装置,电机直驱叶轮,热气旁通,变频启动,,B,
372,齿轮离心机组不可定制的启动方式是？,,,单选题,高压直接启动,星三角启动,机载高压变频启动,自耦串电抗启动,,C,
373,变频直驱机组不能定制的项目是？,,,单选题,星三角启动,全年制冷,热回收,1300RT高压变频,,A,
374,以下哪些部件是属于美的齿轮离心机组,,,多选题,联轴器,半封闭电机,闭式叶轮,冷媒滤清器,,BC,
375,标准变频直驱机组以下说法正确的是,,,多选题,双一级能效,内置油箱,可调二级节流,全系谐波5%,,AC,
376,市场中有类似美的变频直驱机组的品牌是？,,,多选题,格力,特灵,开利,海尔,,ABC,
377,影响离心机组能效（COP及IPLV)的配置有哪些？,,,多选题,可调节流,变频,水路旁通,变频油泵,,AB,
378,变频离心机组防喘可以采用以下哪些方法？,,,多选题,频率调节,导叶调节,配置冷媒隔离阀,配置可调节流,,AB,
379,设计工况冷冻出水温度5℃的定频机组IPLV与标准机组IPLV完全一致,,,是非题,正确,错误,,,,错误,
380,热气旁通的作用主要是提高IPLV值,,,是非题,正确,错误,,,,错误,
381,油加热器在机组运行过程中并不是全程开启,,,是非题,正确,错误,,,,正确,
382,高压定频机组需客户额外提供380V和220V电源,,,是非题,正确,错误,,,,正确,
383,"名义工况指的是12/7,32/37",,,是非题,正确,错误,,,,错误,
384,集成式磁悬浮单压缩机机组冷量范围？,,,单选题,130-300RT,80-200RT,80-300RT,120-300RT,,A,
385,分体式磁悬浮单压缩机机组冷量范围？,,,单选题,120-800RT,130-800RT,80-800RT,80-1000RT,,C,
386,美的磁悬浮离心机变频器的冷却方式是什么？,,,单选题,冷媒冷却,水冷,风冷,,,A,
387,美的磁悬浮机组标配变频器品牌是什么？,,,单选题,施耐德,美的牌,ABB,丹佛斯,,B,
388,美的磁悬浮离心机标准机保温棉厚度是多少？,,,单选题,20mm,15mm,30mm,40mm,,A,
389,美的磁悬浮离心机标准机水流量范围是多少？,,,单选题,50～120%,30～120%,50～130%,30～130%,,A,
390,美的磁悬浮离心机换热器用的换热管管径是多少？,,,单选题,3/4寸,1寸,1/2寸,2寸,,A,
391,美的磁悬浮离心机标准机是否配置有水流开关？,,,单选题,蒸发器及冷凝器均配置,冷凝器侧配置,蒸发器配置,蒸发器及冷凝器均无,,C,
392,美的磁悬浮离心机的控制屏尺寸及防护等级是多少,,,单选题,10寸/IP65,10寸/IP54,7寸/IP54,10寸/IP55,,A,
393,磁悬浮冷水机组标准机谐波值是多少？,,,单选题,35%左右,30%左右,5%左右,10%左右,,A,
394,以下哪些是我司磁悬浮机组的核心技术？,,,多选题,叶轮水平对置结构,断电保护-自发电模式,断电保护-高强度备降轴承,智能防喘振与高强度抗喘振,,ABCD,
395,以下哪些是我司磁悬浮机组可接单的电制？,,,多选题,380V,415V,460V,10KV,,ABC,
396,美的磁悬浮机组采用独创的微流道变频器技术具有哪些特点？,,,多选题,散热效果更优,柜体尺寸更紧凑,变频器可靠性更高,无水冷变频柜脏堵问题,,ABCD,
397,美的磁悬浮离心机主要组成部件有哪些？,,,多选题,压缩机,蒸发器,冷凝器,经济器,,ABCD,
398,以下哪些为我司磁悬浮离心机可选配项目？,,,多选题,1.6MPA承压,流量计,快速启动,BACnet通讯,,ABCD,
399,我司磁悬浮离心机只能做单冷不能做热泵,,,是非题,正确,错误,,,,错误,
400,我司全系列磁悬浮离心机标准机均为国标双一级能效。,,,是非题,正确,错误,,,,错误,
401,我司变频直驱系列及磁悬浮系列离心机，压缩机电机均使用的永磁同步电机。,,,是非题,正确,错误,,,,错误,
402,我司变频直驱系列及磁悬浮系列离心机，压缩机均为双级压缩，水平対置结构。,,,是非题,正确,错误,,,,正确,
403,我司全系列磁悬浮离心压缩机防护等级标配IP67.,,,是非题,正确,错误,,,,错误,
404,风冷机组融霜时间不应超过运行周期时间的______%。,,,单选题,10,20,30,40,,B,
405,美的SHAF-H系列机组标配启动方式_____。,,,单选题,变频启动,星三角,闭式星三角,固态软启,,B,
406,美的SCAF-HV系列机组单压缩机调节范围_____。,,,单选题,25%~100%,20%~100%,12.5%~100%,10%~100%,,D,
407,美的SCAF-HV系列机组压缩机功率因素_____。,,,单选题,≥0.8,≥0.88,≥0.9,≥0.92,,D,
408,风冷螺杆压缩机电机绝缘等级_____级。,,,单选题,A,E,B,F,,D,
409,螺杆压缩机供油方式是_____。,,,单选题,重力式,压差式,喷油式,飞溅式,,B,
410,美的SHAF-H系列机组水流量变化范围_____。,,,单选题,50%~100%,50%~110%,50%~120%,50%~130%,,D,
411,美的风冷螺杆机组标配______水流开关。,,,单选题,压差式,靶式,热线式,重力式,,B,
412,美的SHAF-H系列标准机制热工况环温范围_____。,,,单选题,-7~21℃,5~52℃ ,-10~30℃,10~48℃,,C,
413,美的SHAF-H系列最多_____台（单模块）主从机控制。,,,单选题,5,6,7,8,,D,
414,依据GB19577-2024，以下机组能进行能效等级认证的是_____。,,,多选题,舒适型水冷机组,舒适型风冷机组,工艺型水冷机组,工艺型风冷机组,数据中心专用型水冷机组,ABE,
415,依据GB19577-2024，风冷机组能效评价指标_____。,,,多选题,COP,IPLV,CSPF,ACCOP,,AC,
416,美的SHAF-H系列机组可选配置有_____。,,,多选题,冰蓄冷,60℃出水,热回收,全年制冷,,ABD,
417,以下制冷剂ODP为0的是_______。,,,多选题,R32,R134a,R410a,R22,,ABC,
418,以下制冷安全等级是A1级的是_____。,,,多选题,R290,R134a,R411a,R515B,,BCD,
419,美的风冷大涡旋标配靶式水流开关。,,,判断题,正确,错误,,,,错误,
420,美的SHAF-H系列机组节流方式采用热力膨胀阀。,,,判断题,正确,错误,,,,错误,
421,美的低温大涡旋执行国标规范GB/T25127.1-2020《低环境温度空气源热泵（冷水）机组 第1部分：工业或商业用及类似用途的热泵（冷水）机组》。,,,判断题,正确,错误,,,,错误,
422,风冷大涡旋标配7寸LCD显示屏。,,,判断题,正确,错误,,,,错误,
